token: the, frequency: 6522
token: just, frequency: 98
token: few, frequency: 98
token: ever, frequency: 98
token: ", frequency: 98
token: word, frequency: 97
token: without, frequency: 97
token: off, frequency: 97
token: make, frequency: 97
token: every, frequency: 97
token: room, frequency: 96
token: see, frequency: 93
token: big, frequency: 93
token: telescreen, frequency: 92
token: perhaps, frequency: 92
token: day, frequency: 92
token: such, frequency: 91
token: kind, frequency: 91
token: where, frequency: 89
token: life, frequency: 87
token: being, frequency: 87
token: hand, frequency: 85
token: first, frequency: 85
token: too, frequency: 84
token: newspeak, frequency: 84
token: power, frequency: 83
token: once, frequency: 82
token: much, frequency: 82
token: looked, frequency: 82
token: body, frequency: 82
token: brother, frequency: 80
token: nothing, frequency: 79
token: here, frequency: 79
token: came, frequency: 79
token: has, frequency: 76
token: four, frequency: 76
token: between, frequency: 76
token: while, frequency: 75
token: got, frequency: 75
token: turned, frequency: 74
token: human, frequency: 74
token: get, frequency: 74
token: possible, frequency: 73
token: anything, frequency: 73
token: whole, frequency: 72
token: right, frequency: 72
token: remember, frequency: 72
token: end, frequency: 72
token: already, frequency: 71
token: seen, frequency: 70
token: look, frequency: 70
token: white, frequency: 69
token: sort, frequency: 69
token: should, frequency: 69
token: pain, frequency: 69
token: except, frequency: 69
token: called, frequency: 69
token: also, frequency: 69
token: table, frequency: 68
token: feeling, frequency: 68
token: don, frequency: 68
token: come, frequency: 68
token: work, frequency: 67
token: went, frequency: 67
token: well, frequency: 67
token: since, frequency: 67
token: side, frequency: 67
token: happened, frequency: 67
token: girl, frequency: 67
token: yes, frequency: 66
token: ministry, frequency: 65
token: my, frequency: 64
token: everything, frequency: 64
token: why, frequency: 63
token: head, frequency: 63
token: enough, frequency: 63
token: think, frequency: 62
token: suddenly, frequency: 62
token: oceania, frequency: 62
token: woman, frequency: 61
token: under, frequency: 61
token: merely, frequency: 61
token: go, frequency: 61
token: five, frequency: 61
token: necessary, frequency: 60
token: minutes, frequency: 60
token: good, frequency: 60
token: far, frequency: 60
token: yet, frequency: 59
token: times, frequency: 59
token: sometimes, frequency: 59
token: quite, frequency: 59
token: half, frequency: 59
token: small, frequency: 58
token: thirty, frequency: 57
token: bed, frequency: 57
token: took, frequency: 56
token: itself, frequency: 55
token: hands, frequency: 55
token: whether, frequency: 54
token: most, frequency: 54
token: felt, frequency: 54
token: certain, frequency: 54
token: behind, frequency: 54
token: actually, frequency: 54
token: simply, frequency: 53
token: saw, frequency: 53
token: different, frequency: 53
token: sat, frequency: 52
token: men, frequency: 52
token: air, frequency: 52
token: those, frequency: 51
token: love, frequency: 51
token: fact, frequency: 51
token: dark, frequency: 51
token: put, frequency: 50
token: our, frequency: 50
token: new, frequency: 50
token: impossible, frequency: 50
token: course, frequency: 50
token: black, frequency: 50
token: used, frequency: 49
token: these, frequency: 49
token: take, frequency: 49
token: great, frequency: 49
token: glass, frequency: 49
token: better, frequency: 49
token: across, frequency: 49
token: true, frequency: 48
token: street, frequency: 48
token: re, frequency: 48
token: hours, frequency: 48
token: become, frequency: 48
token: ), frequency: 48
token: (, frequency: 48
token: proles, frequency: 47
token: police, frequency: 47
token: memory, frequency: 47
token: hair, frequency: 47
token: full, frequency: 47
token: done, frequency: 47
token: began, frequency: 47
token: upon, frequency: 46
token: last, frequency: 46
token: front, frequency: 46
token: death, frequency: 46
token: days, frequency: 46
token: twenty, frequency: 45
token: paper, frequency: 45
token: many, frequency: 45
token: ago, frequency: 45
token: act, frequency: 45
token: above, frequency: 45
token: outside, frequency: 44
token: middle, frequency: 44
token: heart, frequency: 44
token: victory, frequency: 43
token: ve, frequency: 43
token: towards, frequency: 43
token: m, frequency: 43
token: inside, frequency: 43
token: enormous, frequency: 43
token: door, frequency: 43
token: children, frequency: 43
token: tell, frequency: 42
token: others, frequency: 42
token: matter, frequency: 42
token: longer, frequency: 42
token: less, frequency: 42
token: left, frequency: 42
token: arm, frequency: 42
token: together, frequency: 41
token: things, frequency: 41
token: taken, frequency: 41
token: stopped, frequency: 41
token: member, frequency: 41
token: light, frequency: 41
token: fingers, frequency: 41
token: book, frequency: 41
token: alone, frequency: 41
token: understand, frequency: 40
token: somewhere, frequency: 40
token: shall, frequency: 40
token: real, frequency: 40
token: parsons, frequency: 40
token: mother, frequency: 40
token: keep, frequency: 40
token: gave, frequency: 40
token: case, frequency: 40
token: appeared, frequency: 40
token: part, frequency: 39
token: large, frequency: 39
token: give, frequency: 39
token: exist, frequency: 39
token: set, frequency: 38
token: next, frequency: 38
token: members, frequency: 38
token: looking, frequency: 38
token: ingsoc, frequency: 38
token: both, frequency: 38
token: use, frequency: 37
token: truth, frequency: 37
token: stood, frequency: 37
token: seconds, frequency: 37
token: really, frequency: 37
token: person, frequency: 37
token: meaning, frequency: 37
token: later, frequency: 37
token: inner, frequency: 37
token: heard, frequency: 37
token: floor, frequency: 37
token: eurasia, frequency: 37
token: yourself, frequency: 36
token: within, frequency: 36
token: soon, frequency: 36
token: held, frequency: 36
token: goldstein, frequency: 36
token: else, frequency: 36
token: each, frequency: 36
token: dead, frequency: 36
token: changed, frequency: 36
token: young, frequency: 35
token: wall, frequency: 35
token: syme, frequency: 35
token: reality, frequency: 35
token: present, frequency: 35
token: hold, frequency: 35
token: hate, frequency: 35
token: gin, frequency: 35
token: brought, frequency: 35
token: until, frequency: 34
token: themselves, frequency: 34
token: remembered, frequency: 34
token: passed, frequency: 34
token: going, frequency: 34
token: year, frequency: 33
token: whose, frequency: 33
token: water, frequency: 33
token: us, frequency: 33
token: ten, frequency: 33
token: sound, frequency: 33
token: piece, frequency: 33
token: ll, frequency: 33
token: kept, frequency: 33
token: having, frequency: 33
token: gone, frequency: 33
token: fear, frequency: 33
token: existed, frequency: 33
token: eastasia, frequency: 33
token: control, frequency: 33
token: believe, frequency: 33
token: week, frequency: 32
token: sitting, frequency: 32
token: revolution, frequency: 32
token: probably, frequency: 32
token: known, frequency: 32
token: however, frequency: 32
token: hour, frequency: 32
token: written, frequency: 31
token: want, frequency: 31
token: top, frequency: 31
token: sure, frequency: 31
token: society, frequency: 31
token: sense, frequency: 31
token: opposite, frequency: 31
token: near, frequency: 31
token: name, frequency: 31
token: history, frequency: 31
token: future, frequency: 31
token: either, frequency: 31
token: doublethink, frequency: 31
token: doing, frequency: 31
token: chapter, frequency: 31
token: whom, frequency: 30
token: trying, frequency: 30
token: standing, frequency: 30
token: prisoners, frequency: 30
token: point, frequency: 30
token: needed, frequency: 30
token: need, frequency: 30
token: mouth, frequency: 30
token: meant, frequency: 30
token: may, frequency: 30
token: important, frequency: 30
token: enemy, frequency: 30
token: deep, frequency: 30
token: able, frequency: 30
token: vocabulary, frequency: 29
token: told, frequency: 29
token: started, frequency: 29
token: single, frequency: 29
token: read, frequency: 29
token: question, frequency: 29
token: open, frequency: 29
token: occurred, frequency: 29
token: nearly, frequency: 29
token: let, frequency: 29
token: lay, frequency: 29
token: idea, frequency: 29
token: happen, frequency: 29
token: forgotten, frequency: 29
token: feel, frequency: 29
token: example, frequency: 29
token: exactly, frequency: 29
token: department, frequency: 29
token: century, frequency: 29
token: cell, frequency: 29
token: arms, frequency: 29
token: women, frequency: 28
token: window, frequency: 28
token: turn, frequency: 28
token: talking, frequency: 28
token: smell, frequency: 28
token: records, frequency: 28
token: political, frequency: 28
token: physical, frequency: 28
token: overalls, frequency: 28
token: general, frequency: 28
token: diary, frequency: 28
token: b, frequency: 28
token: among, frequency: 28
token: alive, frequency: 28
token: whatever, frequency: 27
token: wanted, frequency: 27
token: thinking, frequency: 27
token: speak, frequency: 27
token: reason, frequency: 27
token: night, frequency: 27
token: feet, frequency: 27
token: faces, frequency: 27
token: everyone, frequency: 27
token: effort, frequency: 27
token: difficult, frequency: 27
token: difference, frequency: 27
token: became, frequency: 27
token: working, frequency: 26
token: usual, frequency: 26
token: several, frequency: 26
token: second, frequency: 26
token: london, frequency: 26
token: hatred, frequency: 26
token: given, frequency: 26
token: free, frequency: 26
token: existence, frequency: 26
token: earlier, frequency: 26
token: d, frequency: 26
token: change, frequency: 26
token: aware, frequency: 26
token: age, frequency: 26
token: writing, frequency: 25
token: speech, frequency: 25
token: six, frequency: 25
token: nose, frequency: 25
token: movement, frequency: 25
token: lies, frequency: 25
token: immediately, frequency: 25
token: herself, frequency: 25
token: followed, frequency: 25
token: fell, frequency: 25
token: early, frequency: 25
token: during, frequency: 25
token: coming, frequency: 25
token: although, frequency: 25
token: worked, frequency: 24
token: struck, frequency: 24
token: stop, frequency: 24
token: speaking, frequency: 24
token: somehow, frequency: 24
token: sleep, frequency: 24
token: order, frequency: 24
token: often, frequency: 24
token: morning, frequency: 24
token: knowledge, frequency: 24
token: instant, frequency: 24
token: heavy, frequency: 24
token: hardly, frequency: 24
token: freedom, frequency: 24
token: didn, frequency: 24
token: conscious, frequency: 24
token: clothes, frequency: 24
token: charrington, frequency: 24
token: boots, frequency: 24
token: books, frequency: 24
token: added, frequency: 24
token: self, frequency: 23
token: process, frequency: 23
token: noticed, frequency: 23
token: mean, frequency: 23
token: high, frequency: 23
token: evening, frequency: 23
token: easy, frequency: 23
token: corner, frequency: 23
token: consciousness, frequency: 23
token: cold, frequency: 23
token: brotherhood, frequency: 23
token: broken, frequency: 23
token: boy, frequency: 23
token: am, frequency: 23
token: today, frequency: 22
token: stuff, frequency: 22
token: spectacles, frequency: 22
token: singing, frequency: 22
token: sight, frequency: 22
token: shop, frequency: 22
token: pushed, frequency: 22
token: pieces, frequency: 22
token: picture, frequency: 22
token: nor, frequency: 22
token: music, frequency: 22
token: mr, frequency: 22
token: meet, frequency: 22
token: making, frequency: 22
token: low, frequency: 22
token: language, frequency: 22
token: knowing, frequency: 22
token: home, frequency: 22
token: found, frequency: 22
token: filled, frequency: 22
token: expression, frequency: 22
token: dream, frequency: 22
token: does, frequency: 22
token: comrade, frequency: 22
token: completely, frequency: 22
token: coffee, frequency: 22
token: chair, frequency: 22
token: bells, frequency: 22
token: wondered, frequency: 21
token: vast, frequency: 21
token: tried, frequency: 21
token: tiny, frequency: 21
token: thoughts, frequency: 21
token: therefore, frequency: 21
token: sister, frequency: 21
token: shut, frequency: 21
token: short, frequency: 21
token: secret, frequency: 21
token: quarter, frequency: 21
token: picked, frequency: 21
token: means, frequency: 21
token: lost, frequency: 21
token: lived, frequency: 21
token: labour, frequency: 21
token: indeed, frequency: 21
token: grown, frequency: 21
token: group, frequency: 21
token: eurasian, frequency: 21
token: easily, frequency: 21
token: dangerous, frequency: 21
token: continued, frequency: 21
token: contained, frequency: 21
token: complete, frequency: 21
token: caught, frequency: 21
token: care, frequency: 21
token: beyond, frequency: 21
token: appearance, frequency: 21
token: walked, frequency: 20
token: skin, frequency: 20
token: seven, frequency: 20
token: running, frequency: 20
token: opened, frequency: 20
token: movements, frequency: 20
token: living, frequency: 20
token: line, frequency: 20
token: lie, frequency: 20
token: instance, frequency: 20
token: guards, frequency: 20
token: fighting, frequency: 20
token: date, frequency: 20
token: danger, frequency: 20
token: chocolate, frequency: 20
token: child, frequency: 20
token: call, frequency: 20
token: below, frequency: 20
token: sun, frequency: 19
token: st, frequency: 19
token: smith, frequency: 19
token: silent, frequency: 19
token: shouting, frequency: 19
token: public, frequency: 19
token: produced, frequency: 19
token: powerful, frequency: 19
token: ones, frequency: 19
token: metres, frequency: 19
token: knees, frequency: 19
token: hundred, frequency: 19
token: hear, frequency: 19
token: happening, frequency: 19
token: grew, frequency: 19
token: food, frequency: 19
token: finally, frequency: 19
token: evidence, frequency: 19
token: dust, frequency: 19
token: disappeared, frequency: 19
token: cut, frequency: 19
token: curious, frequency: 19
token: couple, frequency: 19
token: bring, frequency: 19
token: afternoon, frequency: 19
token: wrote, frequency: 18
token: weeks, frequency: 18
token: spies, frequency: 18
token: slowly, frequency: 18
token: slightly, frequency: 18
token: saying, frequency: 18
token: remain, frequency: 18
token: red, frequency: 18
token: rate, frequency: 18
token: pulled, frequency: 18
token: pocket, frequency: 18
token: peace, frequency: 18
token: ordinary, frequency: 18
token: number, frequency: 18
token: nobody, frequency: 18
token: natural, frequency: 18
token: minute, frequency: 18
token: live, frequency: 18
token: least, frequency: 18
token: job, frequency: 18
token: hundreds, frequency: 18
token: glance, frequency: 18
token: forward, frequency: 18
token: forth, frequency: 18
token: flat, frequency: 18
token: darkness, frequency: 18
token: covered, frequency: 18
token: continuous, frequency: 18
token: blue, frequency: 18
token: believed, frequency: 18
token: altered, frequency: 18
token: watching, frequency: 17
token: walls, frequency: 17
token: torture, frequency: 17
token: teeth, frequency: 17
token: strong, frequency: 17
token: straight, frequency: 17
token: stand, frequency: 17
token: sex, frequency: 17
token: rest, frequency: 17
token: reading, frequency: 17
token: quickly, frequency: 17
token: purpose, frequency: 17
token: passage, frequency: 17
token: news, frequency: 17
token: nature, frequency: 17
token: names, frequency: 17
token: moved, frequency: 17
token: lying, frequency: 17
token: level, frequency: 17
token: katharine, frequency: 17
token: instead, frequency: 17
token: huge, frequency: 17
token: hope, frequency: 17
token: help, frequency: 17
token: faint, frequency: 17
token: faced, frequency: 17
token: earth, frequency: 17
token: class, frequency: 17
token: bread, frequency: 17
token: beautiful, frequency: 17
token: anyone, frequency: 17
token: walking, frequency: 16
token: voices, frequency: 16
token: vaguely, frequency: 16
token: till, frequency: 16
token: thick, frequency: 16
token: telescreens, frequency: 16
token: talk, frequency: 16
token: strength, frequency: 16
token: streets, frequency: 16
token: step, frequency: 16
token: states, frequency: 16
token: sooner, frequency: 16
token: someone, frequency: 16
token: sit, frequency: 16
token: simultaneously, frequency: 16
token: shoulders, frequency: 16
token: shoot, frequency: 16
token: rubbish, frequency: 16
token: remained, frequency: 16
token: principle, frequency: 16
token: position, frequency: 16
token: paused, frequency: 16
token: original, frequency: 16
token: oldspeak, frequency: 16
token: normal, frequency: 16
token: move, frequency: 16
token: military, frequency: 16
token: message, frequency: 16
token: machine, frequency: 16
token: leave, frequency: 16
token: interest, frequency: 16
token: impression, frequency: 16
token: house, frequency: 16
token: groups, frequency: 16
token: gesture, frequency: 16
token: following, frequency: 16
token: flung, frequency: 16
token: find, frequency: 16
token: figure, frequency: 16
token: fifty, frequency: 16
token: expected, frequency: 16
token: dropped, frequency: 16
token: dirty, frequency: 16
token: dial, frequency: 16
token: desire, frequency: 16
token: crowd, frequency: 16
token: crimes, frequency: 16
token: country, frequency: 16
token: common, frequency: 16
token: colour, frequency: 16
token: clear, frequency: 16
token: building, frequency: 16
token: bombs, frequency: 16
token: bad, frequency: 16
token: apart, frequency: 16
token: wife, frequency: 15
token: violent, frequency: 15
token: vaporized, frequency: 15
token: thousands, frequency: 15
token: taking, frequency: 15
token: sweat, frequency: 15
token: super, frequency: 15
token: skull, frequency: 15
token: shoulder, frequency: 15
token: says, frequency: 15
token: ruling, frequency: 15
token: rose, frequency: 15
token: razor, frequency: 15
token: rats, frequency: 15
token: ran, frequency: 15
token: pure, frequency: 15
token: powers, frequency: 15
token: partly, frequency: 15
token: oh, frequency: 15
token: numbers, frequency: 15
token: nine, frequency: 15
token: memories, frequency: 15
token: meanings, frequency: 15
token: martin, frequency: 15
token: manner, frequency: 15
token: learn, frequency: 15
token: killed, frequency: 15
token: intellectual, frequency: 15
token: instinct, frequency: 15
token: growing, frequency: 15
token: further, frequency: 15
token: fro, frequency: 15
token: filthy, frequency: 15
token: figures, frequency: 15
token: exists, frequency: 15
token: distance, frequency: 15
token: direction, frequency: 15
token: dictionary, frequency: 15
token: curiously, frequency: 15
token: carried, frequency: 15
token: bit, frequency: 15
token: belly, frequency: 15
token: beginning, frequency: 15
token: attention, frequency: 15
token: along, frequency: 15
token: allowed, frequency: 15
token: 101, frequency: 15
token: wrong, frequency: 14
token: whenever, frequency: 14
token: walk, frequency: 14
token: waiting, frequency: 14
token: waist, frequency: 14
token: vague, frequency: 14
token: tube, frequency: 14
token: terrible, frequency: 14
token: tears, frequency: 14
token: supposed, frequency: 14
token: subject, frequency: 14
token: structure, frequency: 14
token: state, frequency: 14
token: show, frequency: 14
token: rocket, frequency: 14
token: rather, frequency: 14
token: principles, frequency: 14
token: photograph, frequency: 14
token: paperweight, frequency: 14
token: occasionally, frequency: 14
token: obviously, frequency: 14
token: object, frequency: 14
token: mrs, frequency: 14
token: months, frequency: 14
token: mere, frequency: 14
token: mass, frequency: 14
token: league, frequency: 14
token: law, frequency: 14
token: individual, frequency: 14
token: houses, frequency: 14
token: hidden, frequency: 14
token: hard, frequency: 14
token: habit, frequency: 14
token: guard, frequency: 14
token: force, frequency: 14
token: falling, frequency: 14
token: e, frequency: 14
token: difficulty, frequency: 14
token: die, frequency: 14
token: destroy, frequency: 14
token: criminals, frequency: 14
token: confess, frequency: 14
token: comes, frequency: 14
token: close, frequency: 14
token: clock, frequency: 14
token: centre, frequency: 14
token: capable, frequency: 14
token: cannot, frequency: 14
token: bones, frequency: 14
token: beneath, frequency: 14
token: ampleforth, frequency: 14
token: aim, frequency: 14
token: won, frequency: 13
token: watched, frequency: 13
token: vision, frequency: 13
token: tree, frequency: 13
token: thousand, frequency: 13
token: suppose, frequency: 13
token: sub, frequency: 13
token: stirred, frequency: 13
token: special, frequency: 13
token: speakwrite, frequency: 13
token: seem, frequency: 13
token: safe, frequency: 13
token: recognized, frequency: 13
token: realized, frequency: 13
token: problem, frequency: 13
token: pressed, frequency: 13
token: plenty, frequency: 13
token: places, frequency: 13
token: pavement, frequency: 13
token: page, frequency: 13
token: neck, frequency: 13
token: narrow, frequency: 13
token: moments, frequency: 13
token: millions, frequency: 13
token: masses, frequency: 13
token: lunatic, frequency: 13
token: listening, frequency: 13
token: late, frequency: 13
token: larger, frequency: 13
token: laid, frequency: 13
token: invariably, frequency: 13
token: imagine, frequency: 13
token: haired, frequency: 13
token: ground, frequency: 13
token: getting, frequency: 13
token: gazed, frequency: 13
token: fragment, frequency: 13
token: fifteen, frequency: 13
token: fallen, frequency: 13
token: english, frequency: 13
token: endless, frequency: 13
token: effect, frequency: 13
token: edge, frequency: 13
token: destruction, frequency: 13
token: crossed, frequency: 13
token: conversation, frequency: 13
token: controls, frequency: 13
token: constantly, frequency: 13
token: confessed, frequency: 13
token: concerned, frequency: 13
token: cigarette, frequency: 13
token: carrying, frequency: 13
token: brown, frequency: 13
token: brain, frequency: 13
token: bomb, frequency: 13
token: blow, frequency: 13
token: besides, frequency: 13
token: beings, frequency: 13
token: beer, frequency: 13
token: asleep, frequency: 13
token: yellow, frequency: 12
token: worst, frequency: 12
token: wearing, frequency: 12
token: warm, frequency: 12
token: uttered, frequency: 12
token: using, frequency: 12
token: twentieth, frequency: 12
token: touch, frequency: 12
token: thoughtcrime, frequency: 12
token: stupid, frequency: 12
token: square, frequency: 12
token: spoken, frequency: 12
token: spoke, frequency: 12
token: solid, frequency: 12
token: sky, frequency: 12
token: simple, frequency: 12
token: sexual, frequency: 12
token: seeing, frequency: 12
token: rules, frequency: 12
token: purposes, frequency: 12
token: presently, frequency: 12
token: possession, frequency: 12
token: population, frequency: 12
token: perfectly, frequency: 12
token: particular, frequency: 12
token: outer, frequency: 12
token: orthodoxy, frequency: 12
token: official, frequency: 12
token: officer, frequency: 12
token: obvious, frequency: 12
token: moving, frequency: 12
token: met, frequency: 12
token: married, frequency: 12
token: main, frequency: 12
token: literature, frequency: 12
token: literally, frequency: 12
token: likely, frequency: 12
token: iron, frequency: 12
token: invented, frequency: 12
token: intended, frequency: 12
token: intelligent, frequency: 12
token: imagined, frequency: 12
token: hole, frequency: 12
token: holding, frequency: 12
token: hiding, frequency: 12
token: helicopter, frequency: 12
token: frightening, frequency: 12
token: form, frequency: 12
token: forget, frequency: 12
token: forced, frequency: 12
token: folly, frequency: 12
token: facts, frequency: 12
token: everybody, frequency: 12
token: equal, frequency: 12
token: empty, frequency: 12
token: em, frequency: 12
token: defeat, frequency: 12
token: dear, frequency: 12
token: crowded, frequency: 12
token: community, frequency: 12
token: committed, frequency: 12
token: carefully, frequency: 12
token: canteen, frequency: 12
token: cage, frequency: 12
token: burst, frequency: 12
token: broke, frequency: 12
token: brief, frequency: 12
token: breast, frequency: 12
token: bottle, frequency: 12
token: betrayed, frequency: 12
token: best, frequency: 12
token: belief, frequency: 12
token: ask, frequency: 12
token: aside, frequency: 12
token: anywhere, frequency: 12
token: answer, frequency: 12
token: africa, frequency: 12
token: yard, frequency: 11
token: worn, frequency: 11
token: wire, frequency: 11
token: wealth, frequency: 11
token: ways, frequency: 11
token: view, frequency: 11
token: verb, frequency: 11
token: understanding, frequency: 11
token: track, frequency: 11
token: tongue, frequency: 11
token: throughout, frequency: 11
token: terms, frequency: 11
token: swallowed, frequency: 11
token: surface, frequency: 11
token: stream, frequency: 11
token: strange, frequency: 11
token: stay, frequency: 11
token: smile, frequency: 11
token: slow, frequency: 11
token: slogans, frequency: 11
token: similar, frequency: 11
token: shape, frequency: 11
token: settled, frequency: 11
token: seldom, frequency: 11
token: screen, frequency: 11
token: sank, frequency: 11
token: rutherford, frequency: 11
token: run, frequency: 11
token: repeated, frequency: 11
token: ration, frequency: 11
token: raised, frequency: 11
token: promptly, frequency: 11
token: practice, frequency: 11
token: please, frequency: 11
token: period, frequency: 11
token: pale, frequency: 11
token: older, frequency: 11
token: noun, frequency: 11
token: nevertheless, frequency: 11
token: nearer, frequency: 11
token: moreover, frequency: 11
token: month, frequency: 11
token: metal, frequency: 11
token: mental, frequency: 11
token: loved, frequency: 11
token: lips, frequency: 11
token: led, frequency: 11
token: leaving, frequency: 11
token: kitchen, frequency: 11
token: kill, frequency: 11
token: impulse, frequency: 11
token: helpless, frequency: 11
token: hated, frequency: 11
token: grey, frequency: 11
token: girls, frequency: 11
token: generation, frequency: 11
token: fixed, frequency: 11
token: finished, frequency: 11
token: fiction, frequency: 11
token: feelings, frequency: 11
token: eye, frequency: 11
token: evidently, frequency: 11
token: everywhere, frequency: 11
token: equality, frequency: 11
token: eleven, frequency: 11
token: ear, frequency: 11
token: destroyed, frequency: 11
token: creature, frequency: 11
token: corridor, frequency: 11
token: consisted, frequency: 11
token: coloured, frequency: 11
token: coat, frequency: 11
token: clement, frequency: 11
token: clean, frequency: 11
token: church, frequency: 11
token: choose, frequency: 11
token: childhood, frequency: 11
token: chance, frequency: 11
token: cases, frequency: 11
token: capitalists, frequency: 11
token: breaking, frequency: 11
token: bought, frequency: 11
token: bodies, frequency: 11
token: bloody, frequency: 11
token: blade, frequency: 11
token: barely, frequency: 11
token: banners, frequency: 11
token: avoid, frequency: 11
token: attack, frequency: 11
token: arrested, frequency: 11
token: applied, frequency: 11
token: worse, frequency: 10
token: wood, frequency: 10
token: woke, frequency: 10
token: wish, frequency: 10
token: wide, frequency: 10
token: wars, frequency: 10
token: varicose, frequency: 10
token: vanished, frequency: 10
token: twelve, frequency: 10
token: triumph, frequency: 10
token: torn, frequency: 10
token: thin, frequency: 10
token: struggle, frequency: 10
token: story, frequency: 10
token: spite, frequency: 10
token: song, frequency: 10
token: somewhat, frequency: 10
token: soft, frequency: 10
token: slipped, frequency: 10
token: slid, frequency: 10
token: sixty, frequency: 10
token: sides, frequency: 10
token: shot, frequency: 10
token: sent, frequency: 10
token: scarlet, frequency: 10
token: realize, frequency: 10
token: ready, frequency: 10
token: quick, frequency: 10
token: prepared, frequency: 10
token: poster, frequency: 10
token: possibly, frequency: 10
token: played, frequency: 10
token: pint, frequency: 10
token: pen, frequency: 10
token: patrols, frequency: 10
token: passing, frequency: 10
token: paid, frequency: 10
token: opening, frequency: 10
token: nowadays, frequency: 10
token: note, frequency: 10
token: none, frequency: 10
token: nineteenth, frequency: 10
token: needs, frequency: 10
token: murmured, frequency: 10
token: mixed, frequency: 10
token: million, frequency: 10
token: mention, frequency: 10
token: managed, frequency: 10
token: majority, frequency: 10
token: lot, frequency: 10
token: lives, frequency: 10
token: listen, frequency: 10
token: lamp, frequency: 10
token: isn, frequency: 10
token: interested, frequency: 10
token: horror, frequency: 10
token: happens, frequency: 10
token: hanging, frequency: 10
token: gun, frequency: 10
token: government, frequency: 10
token: glasses, frequency: 10
token: generally, frequency: 10
token: fresh, frequency: 10
token: forty, frequency: 10
token: formed, frequency: 10
token: fire, frequency: 10
token: final, frequency: 10
token: false, frequency: 10
token: failed, frequency: 10
token: event, frequency: 10
token: engaged, frequency: 10
token: enemies, frequency: 10
token: ended, frequency: 10
token: edition, frequency: 10
token: doubt, frequency: 10
token: deliberately, frequency: 10
token: cubicle, frequency: 10
token: counter, frequency: 10
token: copy, frequency: 10
token: contrary, frequency: 10
token: chinless, frequency: 10
token: chiefly, frequency: 10
token: certainty, frequency: 10
token: cent, frequency: 10
token: carry, frequency: 10
token: blood, frequency: 10
token: bench, frequency: 10
